data,filial_id,filial_nome,produto_canonico,valor_total_brl,preco_medio_litro_brl,volume_estimado_litros
2025-03-26,F005,Posto Litoral Norte,Gasolina Comum,4185,6.29,665.341812400636
2025-03-27,F005,Posto Litoral Norte,Gasolina Comum,4000,6.29,635.9300476947536
2025-03-28,F005,Posto Litoral Norte,Gasolina Comum,4323,6.29,687.281399046105
2025-03-29,F005,Posto Litoral Norte,Gasolina Comum,4138,6.29,657.8696343402225
2025-03-31,F005,Posto Litoral Norte,Gasolina Comum,4463,6.29,709.5389507154213
2025-03-01,F005,Posto Litoral Norte,Etanol,1081,4.11,263.0170316301703
2025-03-03,F005,Posto Litoral Norte,Etanol,1162,4.11,282.72506082725056
2025-03-04,F005,Posto Litoral Norte,Etanol,1115,4.11,271.28953771289537
2025-03-05,F005,Posto Litoral Norte,Etanol,1069,4.11,260.0973236009732
2025-03-06,F005,Posto Litoral Norte,Etanol,1150,4.11,279.8053527980535
2025-03-07,F005,Posto Litoral Norte,Etanol,1104,4.11,268.6131386861314
2025-03-08,F005,Posto Litoral Norte,Etanol,1058,4.11,257.4209245742092
2025-03-10,F005,Posto Litoral Norte,Etanol,1138,4.11,276.8856447688564
2025-03-11,F005,Posto Litoral Norte,Etanol,1092,4.11,265.6934306569343
2025-03-12,F005,Posto Litoral Norte,Etanol,1173,4.11,285.4014598540146
2025-03-13,F005,Posto Litoral Norte,Etanol,1127,4.11,274.20924574209243
2025-03-14,F005,Posto Litoral Norte,Etanol,1081,4.11,263.0170316301703
2025-03-15,F005,Posto Litoral Norte,Etanol,1162,4.11,282.72506082725056
2025-03-17,F005,Posto Litoral Norte,Etanol,1115,4.11,271.28953771289537
2025-03-18,F005,Posto Litoral Norte,Etanol,1069,4.11,260.0973236009732
2025-03-19,F005,Posto Litoral Norte,Etanol,1150,4.11,279.8053527980535
2025-03-20,F005,Posto Litoral Norte,Etanol,1104,4.11,268.6131386861314
2025-03-21,F005,Posto Litoral Norte,Etanol,1058,4.11,257.4209245742092
2025-03-22,F005,Posto Litoral Norte,Etanol,1138,4.11,276.8856447688564
2025-03-24,F005,Posto Litoral Norte,Etanol,1092,4.11,265.6934306569343
2025-03-25,F005,Posto Litoral Norte,Etanol,1173,4.11,285.4014598540146
2025-03-26,F005,Posto Litoral Norte,Etanol,1127,4.11,274.20924574209243
2025-03-27,F005,Posto Litoral Norte,Etanol,1081,4.11,263.0170316301703
2025-03-28,F005,Posto Litoral Norte,Etanol,1162,4.11,282.72506082725056
2025-03-29,F005,Posto Litoral Norte,Etanol,1115,4.11,271.28953771289537
2025-03-31,F005,Posto Litoral Norte,Etanol,1104,4.11,268.6131386861314
2025-03-01,F005,Posto Litoral Norte,Diesel S10,1562,6.54,238.83792048929664
2025-03-03,F005,Posto Litoral Norte,Diesel S10,1500,6.54,229.3577981651376
2025-03-04,F005,Posto Litoral Norte,Diesel S10,1608,6.54,245.87155963302752
2025-03-05,F005,Posto Litoral Norte,Diesel S10,1546,6.54,236.3914373088685
2025-03-06,F005,Posto Litoral Norte,Diesel S10,1654,6.54,252.9051987767584
2025-03-07,F005,Posto Litoral Norte,Diesel S10,1592,6.54,243.4250764525994
2025-03-08,F005,Posto Litoral Norte,Diesel S10,1531,6.54,234.09785932721712
2025-03-10,F005,Posto Litoral Norte,Diesel S10,1638,6.54,250.45871559633028
2025-03-11,F005,Posto Litoral Norte,Diesel S10,1577,6.54,241.131498470948
2025-03-12,F005,Posto Litoral Norte,Diesel S10,1515,6.54,231.65137614678898
2025-03-13,F005,Posto Litoral Norte,Diesel S10,1623,6.54,248.1651376146789
2025-03-14,F005,Posto Litoral Norte,Diesel S10,1562,6.54,238.83792048929664
2025-03-15,F005,Posto Litoral Norte,Diesel S10,1500,6.54,229.3577981651376
2025-03-17,F005,Posto Litoral Norte,Diesel S10,1608,6.54,245.87155963302752
2025-03-18,F005,Posto Litoral Norte,Diesel S10,1546,6.54,236.3914373088685
2025-03-19,F005,Posto Litoral Norte,Diesel S10,1654,6.54,252.9051987767584
2025-03-20,F005,Posto Litoral Norte,Diesel S10,1592,6.54,243.4250764525994
2025-03-21,F005,Posto Litoral Norte,Diesel S10,1531,6.54,234.09785932721712
2025-03-22,F005,Posto Litoral Norte,Diesel S10,1638,6.54,250.45871559633028
2025-03-24,F005,Posto Litoral Norte,Diesel S10,1577,6.54,241.131498470948
2025-03-25,F005,Posto Litoral Norte,Diesel S10,1515,6.54,231.65137614678898
2025-03-26,F005,Posto Litoral Norte,Diesel S10,1623,6.54,248.1651376146789
2025-03-27,F005,Posto Litoral Norte,Diesel S10,1562,6.54,238.83792048929664
2025-03-28,F005,Posto Litoral Norte,Diesel S10,1500,6.54,229.3577981651376
2025-03-29,F005,Posto Litoral Norte,Diesel S10,1608,6.54,245.87155963302752
2025-03-31,F005,Posto Litoral Norte,Diesel S10,1638,6.54,250.45871559633028
